赛马娘：评价分、属性分、等级阈值、技能价格完整整理
生成日期：2026-07-20

【0. 适用范围与来源】
- master.mdb SHA-256: b387ffd16d0ee2c28ed9a1711049a3635c204fc72b652f616e7a199c698c51f0
- 属性分来源: hzyhhzy/UmaAi / Cook2 / 2b06fb9 / UmaSimulator/GameDatabase/GameConstants.cpp / FiveStatusFinalScore
- 等级阈值来源: master.mdb.single_mode_rank（298行）
- 技能名来源: master.mdb.text_data(category=47)
- 技能基础评价分来源: master.mdb.skill_data.grade_value
- 技能原价来源: master.mdb.single_mode_skill_need_point.need_skill_point
- 本文件使用制表符分列，是人可读且可直接按TSV解析的TXT；未生成混合型大型JSON。

【1. 总评价结构】
总评价 = 五维属性评价分之和 + 已学技能评价分 + 固有技能等其他评价项 + 结算规则中的剩余技能Pt评价。
五维属性（速度/耐力/力量/根性/智力）共用同一张 FiveStatusFinalScore 查表。
技能 Hint 与“切れ者”改变的是购买技能所需技能Pt，不直接改变该技能的 grade_value。
注意：下方 grade_value 是MDB中的技能基础评价值；适性、技能替换/上下位、固有等级等最终结算规则须在模拟器中另行处理。

【2. Hint与切れ者折扣】
Hint Lv0: 原价100%；Lv1: 90%；Lv2: 80%；Lv3: 70%；Lv4: 65%；Lv5: 60%。
切れ者: 在Hint折扣后的价格基础上再减10%，即再乘0.9；例如Hint后为原价50%时，切れ者后约为原价45%。
重要：精确整数取整顺序仍须用客户端逻辑/实机边界样本核验；在完成该核验前，不把浮点近似冒充逐点实机价格。

【3. 完整属性评价分表：0～2800】
属性值	单项属性评价分	相对上一点增量
0	0	0
1	1	1
2	1	0
3	2	1
4	2	0
5	3	1
6	3	0
7	4	1
8	4	0
9	5	1
10	5	0
11	6	1
12	6	0
13	7	1
14	7	0
15	8	1
16	8	0
17	9	1
18	9	0
19	10	1
20	10	0
21	11	1
22	11	0
23	12	1
24	12	0
25	13	1
26	13	0
27	14	1
28	14	0
29	15	1
30	15	0
31	16	1
32	16	0
33	17	1
34	17	0
35	18	1
36	18	0
37	19	1
38	19	0
39	20	1
40	20	0
41	21	1
42	21	0
43	22	1
44	22	0
45	23	1
46	23	0
47	24	1
48	24	0
49	25	1
50	25	0
51	26	1
52	27	1
53	28	1
54	29	1
55	29	0
56	30	1
57	31	1
58	32	1
59	33	1
60	33	0
61	34	1
62	35	1
63	36	1
64	37	1
65	37	0
66	38	1
67	39	1
68	40	1
69	41	1
70	41	0
71	42	1
72	43	1
73	44	1
74	45	1
75	45	0
76	46	1
77	47	1
78	48	1
79	49	1
80	49	0
81	50	1
82	51	1
83	52	1
84	53	1
85	53	0
86	54	1
87	55	1
88	56	1
89	57	1
90	57	0
91	58	1
92	59	1
93	60	1
94	61	1
95	61	0
96	62	1
97	63	1
98	64	1
99	65	1
100	66	1
101	67	1
102	68	1
103	69	1
104	70	1
105	71	1
106	72	1
107	73	1
108	74	1
109	75	1
110	76	1
111	77	1
112	78	1
113	79	1
114	80	1
115	81	1
116	82	1
117	83	1
118	84	1
119	85	1
120	86	1
121	87	1
122	88	1
123	89	1
124	90	1
125	91	1
126	92	1
127	93	1
128	94	1
129	95	1
130	96	1
131	97	1
132	98	1
133	99	1
134	100	1
135	101	1
136	102	1
137	103	1
138	104	1
139	105	1
140	106	1
141	107	1
142	108	1
143	109	1
144	110	1
145	111	1
146	112	1
147	113	1
148	114	1
149	115	1
150	116	1
151	117	1
152	118	1
153	120	2
154	121	1
155	122	1
156	124	2
157	125	1
158	126	1
159	128	2
160	129	1
161	130	1
162	131	1
163	133	2
164	134	1
165	135	1
166	137	2
167	138	1
168	139	1
169	141	2
170	142	1
171	143	1
172	144	1
173	146	2
174	147	1
175	148	1
176	150	2
177	151	1
178	152	1
179	154	2
180	155	1
181	156	1
182	157	1
183	159	2
184	160	1
185	161	1
186	163	2
187	164	1
188	165	1
189	167	2
190	168	1
191	169	1
192	170	1
193	172	2
194	173	1
195	174	1
196	176	2
197	177	1
198	178	1
199	180	2
200	181	1
201	183	2
202	184	1
203	186	2
204	188	2
205	189	1
206	191	2
207	192	1
208	194	2
209	196	2
210	197	1
211	199	2
212	200	1
213	202	2
214	204	2
215	205	1
216	207	2
217	208	1
218	210	2
219	212	2
220	213	1
221	215	2
222	216	1
223	218	2
224	220	2
225	221	1
226	223	2
227	224	1
228	226	2
229	228	2
230	229	1
231	231	2
232	232	1
233	234	2
234	236	2
235	237	1
236	239	2
237	240	1
238	242	2
239	244	2
240	245	1
241	247	2
242	248	1
243	250	2
244	252	2
245	253	1
246	255	2
247	256	1
248	258	2
249	260	2
250	261	1
251	263	2
252	265	2
253	267	2
254	269	2
255	270	1
256	272	2
257	274	2
258	276	2
259	278	2
260	279	1
261	281	2
262	283	2
263	285	2
264	287	2
265	288	1
266	290	2
267	292	2
268	294	2
269	296	2
270	297	1
271	299	2
272	301	2
273	303	2
274	305	2
275	306	1
276	308	2
277	310	2
278	312	2
279	314	2
280	315	1
281	317	2
282	319	2
283	321	2
284	323	2
285	324	1
286	326	2
287	328	2
288	330	2
289	332	2
290	333	1
291	335	2
292	337	2
293	339	2
294	341	2
295	342	1
296	344	2
297	346	2
298	348	2
299	350	2
300	352	2
301	354	2
302	356	2
303	358	2
304	360	2
305	362	2
306	364	2
307	366	2
308	368	2
309	371	3
310	373	2
311	375	2
312	377	2
313	379	2
314	381	2
315	383	2
316	385	2
317	387	2
318	389	2
319	392	3
320	394	2
321	396	2
322	398	2
323	400	2
324	402	2
325	404	2
326	406	2
327	408	2
328	410	2
329	413	3
330	415	2
331	417	2
332	419	2
333	421	2
334	423	2
335	425	2
336	427	2
337	429	2
338	431	2
339	434	3
340	436	2
341	438	2
342	440	2
343	442	2
344	444	2
345	446	2
346	448	2
347	450	2
348	452	2
349	455	3
350	457	2
351	459	2
352	462	3
353	464	2
354	467	3
355	469	2
356	471	2
357	474	3
358	476	2
359	479	3
360	481	2
361	483	2
362	486	3
363	488	2
364	491	3
365	493	2
366	495	2
367	498	3
368	500	2
369	503	3
370	505	2
371	507	2
372	510	3
373	512	2
374	515	3
375	517	2
376	519	2
377	522	3
378	524	2
379	527	3
380	529	2
381	531	2
382	534	3
383	536	2
384	539	3
385	541	2
386	543	2
387	546	3
388	548	2
389	551	3
390	553	2
391	555	2
392	558	3
393	560	2
394	563	3
395	565	2
396	567	2
397	570	3
398	572	2
399	575	3
400	577	2
401	580	3
402	582	2
403	585	3
404	588	3
405	590	2
406	593	3
407	595	2
408	598	3
409	601	3
410	603	2
411	606	3
412	608	2
413	611	3
414	614	3
415	616	2
416	619	3
417	621	2
418	624	3
419	627	3
420	629	2
421	632	3
422	634	2
423	637	3
424	640	3
425	642	2
426	645	3
427	647	2
428	650	3
429	653	3
430	655	2
431	658	3
432	660	2
433	663	3
434	666	3
435	668	2
436	671	3
437	673	2
438	676	3
439	679	3
440	681	2
441	684	3
442	686	2
443	689	3
444	692	3
445	694	2
446	697	3
447	699	2
448	702	3
449	705	3
450	707	2
451	710	3
452	713	3
453	716	3
454	719	3
455	721	2
456	724	3
457	727	3
458	730	3
459	733	3
460	735	2
461	738	3
462	741	3
463	744	3
464	747	3
465	749	2
466	752	3
467	755	3
468	758	3
469	761	3
470	763	2
471	766	3
472	769	3
473	772	3
474	775	3
475	777	2
476	780	3
477	783	3
478	786	3
479	789	3
480	791	2
481	794	3
482	797	3
483	800	3
484	803	3
485	805	2
486	808	3
487	811	3
488	814	3
489	817	3
490	819	2
491	822	3
492	825	3
493	828	3
494	831	3
495	833	2
496	836	3
497	839	3
498	842	3
499	845	3
500	847	2
501	850	3
502	853	3
