卡ID	卡名	角色名	稀有度	类型	总段数	挂载方式	各段Story ID
10001	[根]特别周	スペシャルウィーク	1	1	0	chara_shared	S0:801001001,801001002,801001003
10002	[速]无声铃鹿	サイレンススズカ	1	1	0	chara_shared	S0:801002001,801002002,801002003
10003	[速]东海帝王	トウカイテイオー	1	1	0	chara_shared	S0:801003001,801003002,801003003
10004	[速]丸善斯基	マルゼンスキー	1	1	0	chara_shared	S0:801004001,801004002,801004003
10005	[力]小栗帽	オグリキャップ	1	1	0	chara_shared	S0:801006001,801006002,801006003
10006	[耐]黄金船	ゴールドシップ	1	1	0	chara_shared	S0:801007001,801007002,801007003
10007	[力]伏特加	ウオッカ	1	1	0	chara_shared	S0:801008001,801008002,801008003
10008	[速]大树快车	タイキシャトル	1	1	0	chara_shared	S0:801010001,801010002,801010003
10009	[根]草上飞	グラスワンダー	1	1	0	chara_shared	S0:801011001,801011002,801011003
10010	[耐]目白麦昆	メジロマックイーン	1	1	0	chara_shared	S0:801013001,801013002,801013003
10011	[力]神鹰	エルコンドルパサー	1	1	0	chara_shared	S0:801014001,801014002,801014003
10012	[耐]好歌剧	テイエムオペラオー	1	1	0	chara_shared	S0:801015001,801015002,801015003
10013	[智]鲁道夫象征	シンボリルドルフ	1	1	0	chara_shared	S0:801017001,801017002,801017003
10014	[耐]青云天空	セイウンスカイ	1	1	0	chara_shared	S0:801020001,801020002,801020003
10015	[耐]米浴	ライスシャワー	1	1	0	chara_shared	S0:801030001,801030002,801030003
10016	[根]胜利奖券	ウイニングチケット	1	1	0	chara_shared	S0:801035001,801035002,801035003
10017	[速]黄金城市	ゴールドシチー	1	1	0	chara_shared	S0:801040001,801040002,801040003
10018	[速]樱花进王	サクラバクシンオー	1	1	0	chara_shared	S0:801041001,801041002,801041003
10019	[耐]超级溪流	スーパークリーク	1	1	0	chara_shared	S0:801045001,801045002,801045003
10020	[根]春丽	ハルウララ	1	1	0	chara_shared	S0:801052001,801052002,801052003
10021	[友]骏川手纲	駿川たづな	1	0	5	card+chara_shared	S0:809001033,400006114,400006115,400006124,809001001,809001002,809001003,809001004,809001009,809001010,809001011 | S1:809001005 | S2:809001006 | S3:809001007 | S4:809001008 | S5:830021001
10022	[友]桐生院葵	桐生院トレーナー	1	0	5	card+chara_shared	S0:809004033,400006114,400006115,400006124,809004001,809004002,809004003,809004004,809004009,809004010,809004011 | S1:809004005 | S2:809004006 | S3:809004007 | S4:809004008 | S5:820021001
